d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
224,2047,682,1.04372505368288,1.04372505368288,84.86450345227662,20042,0.381741116105172,dw,24,24,3094,2955583.25555335,455437340.909727,4420532665.94497,21285749.8310743,149610791.837447,3087405.04394657
232,2047,682,1.04600233174251,1.04600233174251,87.0158496880417,27155,0.38550131250842,dw,25,25,3095,4157789.17468656,626100110.697353,6082626229.65126,29257103.6420605,205677057.155137,4281759.95283088
240,2047,682,1.0481643808372056,1.0481643808372056,89.16795380700613,36710,0.389082839658527,dw,26,26,3096,5850881.63916058,861443932.101162,8377006346.1525,40247768.7644499,282993763.946125,5942711.62004426
248,2047,682,1.0502163081926417,1.0502163081926417,91.32060916815225,49520,0.392494525794628,dw,27,27,3097,8234596.45407294,1186016647.61875,11544633353.7269,55402942.8094205,389626432.221662,8252654.77963011
256,2047,682,1.0521659229738942,1.0521659229738942,93.47362960876407,66657,0.395744318951673,dw,28,28,3098,11590444.4058548,1633804961.65621,15919525135.8382,76307904.3715937,536742039.223921,11466083.4143757
264,2047,682,1.0540209111227576,1.0540209111227576,95.62685064688563,89534,0.398839241989266,dw,29,29,3099,16314802.8636378,2251819817.93726,21964283202.3154,105155073.919413,739787195.396549,15937780.1083856
272,1023,341,1.0626965594117006,1.0626965594117006,97.04869824350266,81554,0.418045518511775,dw,30,30,1564,28492035.6505152,2058612058.28404,17578273863.1471,95723242.5802395,677060741.905663,25367908.9344499
280,1023,341,1.0641978782104549,1.0641978782104549,99.2010871459507,106919,0.420093441031358,dw,31,31,1565,40148852.610273,2839540524.31197,24306167064.0609,131991506.864674,933934683.037252,35324097.7901544
288,1023,341,1.0656306631438603,1.0656306631438603,101.35360877283757,139886,0.42203839494709,dw,32,32,1566,56565414.729261,3917867979.43068,33621127797.1569,182055074.296697,1288645708.66409,49197650.6258698
296,1023,341,1.0670000334571375,1.0670000334571375,103.50614333485139,182657,0.423884912867431,dw,33,33,1567,79682340.644704,5407250194.36695,46522190279.0003,251179724.007586,1778588541.79784,68533371.1717825
304,1023,341,1.0683069200858277,1.0683069200858277,105.65859146430886,238092,0.425637016720262,dw,34,34,1568,112212987.742885,7463747335.93853,64385595255.4159,346593341.173587,2455111578.60037,95471533.926406
312,1023,341,1.069553594584147,1.069553594584147,107.81087204083772,309867,0.427298779373228,dw,35,35,1569,157963897.679947,10302617690.185,89115676275.9195,478262235.663396,3389043622.95158,132989368.402485
320,1023,341,1.0707517465497793,1.0707517465497793,109.96291996863648,402523,0.428874979922244,dw,36,36,1570,222360687.841493,14226343774.6341,123395961010.364,660187158.475131,4679916802.24538,185300573.201244
328,1023,341,1.0718957437567393,1.0718957437567393,112.11468417163933,522175,0.430368917006083,dw,37,37,1571,312874925.833339,19643310932.9281,170863614202.289,911263091.970865,6462116338.88477,258151554.775036
336,1023,341,1.072991192161424,1.072991192161424,114.26612554015358,676445,0.431784777526207,dw,38,38,1572,440091017.556585,27123893218.2496,236613786097.834,1257872087.49382,8923338020.15852,359626615.092881
344,511,170,1.0793586626226992,1.0793586626226992,115.76709354877212,521870,0.454604325960064,dw,40,40,806,787735589.453979,24882299547.1846,199713350778.557,1139829527.16447,8205579056.81228,580358227.83636
352,511,170,1.0802869529223,1.0802869529223,117.91408560872242,664910,0.455518416885423,dw,40,40,806,1089164659.02209,34403576104.4893,276134183239.912,1575988256.61529,11345465198.1467,802433811.287106
360,511,170,1.0811279082025809,1.0811279082025809,120.06739302650352,849265,0.456381789719609,dw,41,41,807,1530616832.89517,47480416959.4563,383567457300.669,2173589703.21917,15658949903.8197,1118089991.31562
368,511,170,1.0819362915204025,1.0819362915204025,122.22041325351934,1083760,0.457199800994759,dw,42,42,808,2150297454.78582,65529137764.4585,532861759238.066,2997859955.21235,21612843760.8765,1557788484.58024
376,511,170,1.0827115761309394,1.0827115761309394,124.37313160898172,1382063,0.457974937527359,dw,43,43,809,3019532500.29314,90429045900.356,740256249897.133,4134270305.06086,29827353300.3867,2169950775.30027
384,511,170,1.0834578123308753,1.0834578123308753,126.52553898453782,1761063,0.45870981360707,dw,44,44,810,4238818449.56901,124791412171.995,1028473177160.83,5701509323.01184,41164300295.4625,3022396957.87931
392,511,170,1.0841756682179782,1.0841756682179782,128.67763077642226,2242448,0.459406802047675,dw,45,45,811,5948342815.62492,172203495387.287,1428971012072.61,7862515417.1928,56807703014.2726,4209121473.34012
400,511,170,1.0848664831564208,1.0848664831564208,130.82940600032828,2853599,0.460068215837469,dw,46,46,812,8344349972.79725,237615299225.369,1985486988170.13,10841978536.0835,78391478315.8707,5860912480.8933
408,511,170,1.0855333260566369,1.0855333260566369,132.9808665319694,3628648,0.460696340119887,dw,47,47,813,11702493781.6578,327885089149.96,2759068387595.56,14951012122.3855,108179574623.753,8160434627.00884
416,511,170,1.0861746737461482,1.0861746737461482,135.13201648439062,4612016,0.461293182288522,dw,48,48,814,16405449971.8485,452391076032.915,3833883503536.25,20614743056.7307,149268008625.437,11359694799.5859
424,511,170,1.086793079553632,1.086793079553632,137.28286167131859,5858671,0.461860812069376,dw,49,49,815,22990958146.4572,624141269940.311,5327540714180.26,28422479003.0636,205951366179.267,15810934000.3953
432,511,170,1.0873897076676111,1.0873897076676111,139.4334091765353,7438446,0.462401144437135,dw,50,50,816,32209870127.7422,861049840293.847,7403295037975.62,39185256015.2787,284144395712.885,22003239307.0086
440,511,170,1.087965595484359,1.087965595484359,141.58366699314382,9439593,0.462915990785402,dw,51,51,817,45111389753.5802,1187815417665.19,10288013041592.0,54020535692.3751,392002421306.973,30616350726.1759
448,511,170,1.0885219415909122,1.0885219415909122,143.73364373261157,11973355,0.463407069902973,dw,52,52,818,63162186690.0234,1638512898548.29,14297170341830.2,74468997887.6202,540777487278.164,42595487011.6362
456,511,170,1.0890395127774142,1.0890395127774142,145.87582253960736,15208521,0.463875349180044,dw,52,52,818,86956379131.8282,2255766563589.56,19683140022650.4,102522644531.97,744496900344.727,58641879136.7422
464,511,170,1.08962202540085,1.08962202540085,148.0251836594317,19161358,0.464325601826432,dw,53,53,819,122197425395.653,3123834183252.72,27462292819503.1,141882724927.476,1031063990572.44,81898274467.2997
472,511,170,1.0901246203723178,1.0901246203723178,150.17431476197308,24272069,0.464754628390936,dw,54,54,820,170991887012.735,4308585991314.91,38164723643957.7,195565571373.847,1422201982399.34,113909266048.903
480,511,170,1.0906111343933254,1.0906111343933254,152.3232032642974,30733618,0.465165783091525,dw,55,55,821,239206459747.091,5942410621711.29,53039269488435.7,269548282074.893,1961634094681.16,158412537502.129
