d,log2_size,metric
522,122.992345229741,bits
524,123.415630208571,bits
526,123.83888387118,bits
528,124.262106454512,bits
530,124.68529819283,bits
532,125.108459317758,bits
534,125.531590058324,bits
536,125.95469064099,bits
538,126.3777612897,bits
540,126.800802225909,bits
542,127.223813668626,bits
544,127.646795834446,bits
546,128.069748937586,bits
548,128.492673189922,bits
550,128.915568801018,bits
552,129.338435978168,bits
554,129.761274926418,bits
556,130.184085848607,bits
558,130.606868945394,bits
560,131.029624415292,bits
562,131.452352454696,bits
564,131.875053257913,bits
566,132.297727017195,bits
568,132.720373922763,bits
570,133.142994162839,bits
572,133.565587923674,bits
574,133.988155389573,bits
576,134.410696742921,bits
578,134.833212164217,bits
580,135.255701832091,bits
582,135.678165923333,bits
584,136.100604612923,bits
586,136.523018074046,bits
588,136.945406478125,bits
590,137.367769994841,bits
592,137.790108792157,bits
594,138.212423036341,bits
596,138.634712891988,bits
598,139.056978522047,bits
600,139.479220087834,bits
602,139.901437749063,bits
604,140.323631663862,bits
606,140.745801988794,bits
608,141.16794887888,bits
610,141.590072487617,bits
612,142.012172966998,bits
614,142.434250467535,bits
616,142.856305138273,bits
618,143.278337126811,bits
620,143.700346579324,bits
622,144.122333640576,bits
624,144.544298453942,bits
626,144.966241161422,bits
628,145.388161903663,bits
630,145.810060819973,bits
632,146.23193804834,bits
634,146.653793725445,bits
636,147.075627986682,bits
638,147.497440966174,bits
640,147.919232796787,bits
642,148.341003610147,bits
644,148.762753536654,bits
646,149.184482705499,bits
648,149.606191244678,bits
650,150.027879281005,bits
652,150.449546940131,bits
654,150.871194346553,bits
656,151.292821623632,bits
658,151.714428893604,bits
660,152.136016277597,bits
662,152.557583895638,bits
664,152.979131866676,bits
666,153.400660308585,bits
668,153.822169338184,bits
670,154.243659071245,bits
672,154.665129622509,bits
674,155.086581105696,bits
676,155.508013633516,bits
678,155.929427317686,bits
680,156.350822268934,bits
682,156.772198597019,bits
684,157.193556410736,bits
686,157.614895817928,bits
688,158.0362169255,bits
690,158.45751983943,bits
692,158.878804664776,bits
694,159.300071505687,bits
696,159.721320465418,bits
698,160.142551646336,bits
700,160.563765149932,bits
702,160.984961076829,bits
704,161.406139526795,bits
706,161.827300598749,bits
708,162.248444390775,bits
710,162.669571000126,bits
712,163.090680523239,bits
714,163.511773055739,bits
716,163.932848692451,bits
718,164.35390752741,bits
720,164.774949653867,bits
722,165.195975164298,bits
724,165.616984150414,bits
726,166.037976703169,bits
728,166.458952912768,bits
730,166.879912868676,bits
732,167.300856659622,bits
734,167.721784373615,bits
736,168.142696097944,bits
738,168.563591919191,bits
740,168.984471923235,bits
742,169.405336195262,bits
744,169.826184819771,bits
746,170.247017880583,bits
748,170.667835460847,bits
750,171.088637643047,bits
752,171.509424509009,bits
754,171.93019613991,bits
756,172.350952616281,bits
758,172.771694018019,bits
760,173.192420424389,bits
762,173.613131914033,bits
764,174.033828564974,bits
766,174.454510454628,bits
768,174.875177659804,bits
770,175.295830256714,bits
772,175.716468320978,bits
774,176.13709192763,bits
776,176.557701151125,bits
778,176.978296065345,bits
780,177.398876743601,bits
782,177.819443258646,bits
784,178.239995682674,bits
786,178.66053408733,bits
788,179.081058543712,bits
790,179.501569122381,bits
792,179.922065893361,bits
794,180.342548926151,bits
796,180.763018289723,bits
798,181.183474052534,bits
800,181.603916282524,bits
802,182.024345047129,bits
804,182.444760413281,bits
806,182.865162447412,bits
808,183.285551215466,bits
810,183.705926782894,bits
812,184.126289214665,bits
814,184.546638575272,bits
816,184.966974928732,bits
818,185.387298338593,bits
820,185.807608867939,bits
822,186.227906579393,bits
824,186.648191535123,bits
826,187.068463796846,bits
828,187.488723425832,bits
830,187.908970482909,bits
832,188.329205028465,bits
834,188.749427122455,bits
836,189.169636824405,bits
838,189.589834193414,bits
840,190.010019288159,bits
842,190.4301921669,bits
844,190.850352887482,bits
846,191.270501507342,bits
848,191.690638083509,bits
850,192.110762672612,bits
852,192.530875330878,bits
854,192.950976114143,bits
856,193.37106507785,bits
858,193.791142277055,bits
860,194.21120776643,bits
862,194.631261600267,bits
864,195.051303832481,bits
866,195.471334516614,bits
868,195.891353705839,bits
870,196.311361452961,bits
872,196.731357810422,bits
874,197.151342830307,bits
876,197.57131656434,bits
878,197.991279063896,bits
880,198.411230379999,bits
882,198.831170563323,bits
884,199.251099664203,bits
886,199.671017732631,bits
888,200.09092481826,bits
890,200.510820970412,bits
892,200.930706238075,bits
894,201.35058066991,bits
896,201.77044431425,bits
898,202.190297219108,bits
900,202.610139432177,bits
902,203.02997100083,bits
904,203.449791972129,bits
906,203.869602392824,bits
908,204.289402309355,bits
910,204.709191767858,bits
912,205.128970814163,bits
914,205.548739493801,bits
916,205.968497852006,bits
918,206.388245933715,bits
920,206.807983783573,bits
922,207.227711445934,bits
924,207.647428964864,bits
926,208.067136384146,bits
928,208.486833747276,bits
930,208.906521097474,bits
932,209.326198477679,bits
934,209.745865930555,bits
936,210.165523498494,bits
938,210.585171223615,bits
940,211.00480914777,bits
942,211.424437312545,bits
944,211.844055759259,bits
946,212.263664528973,bits
948,212.683263662485,bits
950,213.102853200338,bits
952,213.522433182817,bits
954,213.942003649957,bits
956,214.36156464154,bits
958,214.781116197099,bits
960,215.20065835592,bits
962,215.620191157045,bits
964,216.039714639274,bits
966,216.459228841163,bits
968,216.878733801032,bits
970,217.298229556964,bits
972,217.717716146805,bits
974,218.137193608171,bits
976,218.556661978444,bits
978,218.976121294779,bits
980,219.395571594102,bits
982,219.815012913116,bits
984,220.234445288297,bits
986,220.653868755902,bits
988,221.073283351967,bits
990,221.492689112309,bits
992,221.912086072529,bits
994,222.331474268015,bits
996,222.75085373394,bits
998,223.170224505265,bits
1000,223.589586616744,bits
1002,224.00894010292,bits
1004,224.428284998133,bits
1006,224.847621336515,bits
1008,225.266949151998,bits
1010,225.68626847831,bits
1012,226.105579348981,bits
1014,226.524881797342,bits
1016,226.944175856528,bits
1018,227.363461559477,bits
1020,227.782738938935,bits
1022,228.202008027456,bits
1024,228.621268857403,bits
