d,log2_size,metric
872,186.963173485645,vectors
874,187.379853360806,vectors
876,187.796529504739,vectors
878,188.213201934361,vectors
880,188.629870666474,vectors
882,189.046535717766,vectors
884,189.463197104812,vectors
886,189.879854844076,vectors
888,190.29650895191,vectors
890,190.713159444558,vectors
892,191.129806338155,vectors
894,191.546449648726,vectors
896,191.963089392192,vectors
898,192.379725584367,vectors
900,192.79635824096,vectors
902,193.212987377575,vectors
904,193.629613009714,vectors
906,194.046235152778,vectors
908,194.462853822065,vectors
910,194.879469032772,vectors
912,195.296080799998,vectors
914,195.712689138743,vectors
916,196.129294063909,vectors
918,196.545895590302,vectors
920,196.962493732629,vectors
922,197.379088505505,vectors
924,197.795679923448,vectors
926,198.212268000885,vectors
928,198.628852752149,vectors
930,199.045434191478,vectors
932,199.462012333024,vectors
934,199.878587190845,vectors
936,200.29515877891,vectors
938,200.7117271111,vectors
940,201.128292201205,vectors
942,201.544854062932,vectors
944,201.961412709898,vectors
946,202.377968155634,vectors
948,202.794520413587,vectors
950,203.21106949712,vectors
952,203.627615419509,vectors
954,204.044158193952,vectors
956,204.460697833559,vectors
958,204.877234351363,vectors
960,205.293767760312,vectors
962,205.710298073275,vectors
964,206.126825303044,vectors
966,206.543349462327,vectors
968,206.959870563758,vectors
970,207.376388619889,vectors
972,207.7929036432,vectors
974,208.209415646089,vectors
976,208.625924640881,vectors
978,209.042430639827,vectors
980,209.4589336551,vectors
982,209.875433698801,vectors
984,210.291930782958,vectors
986,210.708424919524,vectors
988,211.124916120382,vectors
990,211.541404397342,vectors
992,211.957889762143,vectors
994,212.374372226453,vectors
996,212.790851801872,vectors
998,213.207328499928,vectors
1000,213.623802332081,vectors
1002,214.040273309725,vectors
1004,214.456741444182,vectors
1006,214.873206746709,vectors
1008,215.289669228498,vectors
1010,215.706128900671,vectors
1012,216.122585774287,vectors
1014,216.539039860339,vectors
1016,216.955491169756,vectors
1018,217.371939713401,vectors
1020,217.788385502076,vectors
1022,218.204828546519,vectors
1024,218.621268857403,vectors
