d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
336,511,170,1.0348414113401287,1.0348414113401287,119.76262247961014,5795790,0.450930220604045,ge19,33,33,799,61907240.9605223,2243934731.84635,17263334265.8407,103268847.366461,739642843.965017,48795882.0671365
344,511,170,1.036621987290049,1.036621987290049,121.90121828337482,7535814,0.452041086430859,ge19,33,33,799,84889778.4746556,3076976446.41432,23672200518.4445,141606530.031958,1014228969.02471,66910938.9287132
352,511,170,1.038301279246734,1.038301279246734,124.04591370443218,9786565,0.453090794891858,ge19,34,34,800,118798873.804929,4216852332.58009,32627806078.0269,193936623.049072,1390048361.01665,92652967.8179469
360,511,170,1.0387099475230053,1.0387099475230053,126.19668403213545,13361866,0.454005591979536,ge19,35,35,801,156182834.841464,5431437789.89467,42271635757.2065,249631141.880499,1790547981.02766,120567920.620293
368,511,170,1.0405381548612656,1.0405381548612656,128.4855346950443,17049593,0.454967116879758,ge19,36,36,802,221400260.135685,7546663785.0348,59084379667.4803,346618440.04849,2488030792.18052,169226018.505349
376,511,170,1.0420429769716626,1.0420429769716626,130.62970321784098,21928669,0.455861024265505,ge19,37,37,803,309527863.581784,10345564837.9895,81489736277.7994,474858007.583299,3411021918.34705,234321294.317937
384,511,170,1.0434904179689493,1.0434904179689493,132.77378922905572,28112848,0.456707427205945,ge19,38,38,804,432609088.107979,14184127896.7057,112416196641.476,650616817.54822,4676947070.64768,324456816.080984
392,511,170,1.0448848284662973,1.0448848284662973,134.91779128359082,35915756,0.457509115396983,ge19,39,39,805,604499548.855833,19450181430.0775,155121819559.192,891578485.185051,6413763553.11131,449290205.230687
400,511,170,1.0462308673007652,1.0462308673007652,137.06170900940236,45711943,0.45826880342383,ge19,40,40,806,844591723.419345,26678221142.4012,214127995969.856,1222098630.0992,8797830452.28485,622246553.807056
408,511,170,1.0475305909882138,1.0475305909882138,139.20554294778015,57949140,0.458988969396284,ge19,41,41,807,1179877642.66645,36600330814.982,295673389706.195,1675513975.83116,12070718485.569,861880880.237756
416,511,170,1.0485514749797469,1.0485514749797469,141.34269013366796,73659434,0.45966021204772,ge19,41,41,807,1595504482.7068,49493260802.7764,399828085247.236,2265734990.31225,16322781919.7364,1165489334.02188
424,511,170,1.0492738472262777,1.0492738472262777,143.62416047250917,93540692,0.460285005728091,ge19,42,42,808,2162986682.46977,65915835031.4694,536006256373.564,3015550776.28998,21740384392.4152,1566981227.99361
432,511,170,1.0504535441399265,1.0504535441399265,145.76747990472444,116630963,0.460902172399717,ge19,43,43,809,3019945474.25179,90441413656.3112,740357492905.416,4134835738.93972,29831432713.3976,2170247554.077
440,511,170,1.0515990148151293,1.0515990148151293,147.91073200575653,144633084,0.461488908815451,ge19,44,44,810,4216805303.93624,124143342064.123,1023132082679.53,5671900091.91424,40950524747.3808,3006700964.95454
448,511,170,1.052703584848105,1.052703584848105,150.0539190057955,178354572,0.462046824952908,ge19,45,45,811,5885426361.62096,170382074929.072,1413856585796.12,7779352491.83116,56206839993.3351,4164601006.75255
456,511,170,1.0537754578581084,1.0537754578581084,152.19704321895549,218627542,0.462578111269887,ge19,46,46,812,8214107021.4816,233906476135.524,1954496475310.39,10672751300.0203,77167903378.6809,5769432312.70731
464,511,170,1.0548137375518463,1.0548137375518463,154.34010701086717,266331939,0.463084449029994,ge19,47,47,813,11462067665.2316,321148735336.047,2702383709119.3,14643845645.8812,105957040223.078,7992779626.08962
472,511,170,1.0558181381209144,1.0558181381209144,156.4831127127152,322347005,0.463567459888807,ge19,48,48,814,15989460457.6786,440919891502.368,3736668532977.28,20092019390.8988,145483051401.115,11071649428.7544
480,511,170,1.0561525482947223,1.0561525482947223,158.75406344200454,382213204,0.464004285424318,ge19,49,49,815,21346986824.0822,579511970789.04,4946594252658.08,26390126106.1469,191224788119.934,14680371197.7912
488,511,170,1.0571215207603044,1.0571215207603044,160.88922925475782,454711187,0.464447129032436,ge19,49,49,815,29323214469.3893,796044610279.846,6794872051923.79,36250705266.3648,262675267479.837,20165641018.593
496,511,170,1.0580690674436188,1.0580690674436188,163.0318669017644,537487299,0.464871351542332,ge19,50,50,816,40955837375.4256,1094851270475.55,9413516615097.22,49825254386.6643,361298310604.869,27977793366.3337
504,511,170,1.058970083802483,1.058970083802483,165.1744647502158,630589626,0.465277327511041,ge19,51,51,817,57115749347.9812,1503898860966.67,13025703206709.4,68395662228.6169,496316166747.974,38763510137.423
512,511,170,1.0598418207854408,1.0598418207854408,167.31702085354732,734666910,0.465666900070309,ge19,52,52,818,79618551201.6117,2065413342128.23,18022175110650.0,93871254811.7768,681672410596.515,53693374807.2598
520,1023,341,1.056978267956769,1.056978267956769,170.206646219355,4752441168,0.449080310028394,ge19,52,52,1586,85298793346.9228,4187842681051.8,38263701169971.7,193310283147.168,1378408311422.76,62333733599.6743
528,1023,341,1.0578677697595398,1.0578677697595398,172.34479029893603,6142897054,0.449587671466332,ge19,53,53,1587,118938559595.407,5756210172838.92,52788781780545.0,265617891108.109,1894694721951.32,86343152592.5839
536,1023,341,1.0587341156592263,1.0587341156592263,174.48289588691858,7933738780,0.450076767967161,ge19,54,54,1588,165838346451.384,7913300752869.14,72843778858311.7,365034980982.07,2604805752020.88,119613290112.924
544,1023,341,1.0595763656105912,1.0595763656105912,176.62096509126454,10240551995,0.450548807749087,ge19,55,55,1589,231189320859.106,10878996625469.1,100525111765792.0,501674276991.714,3581142227925.18,165696595403.268
552,1023,341,1.0603964536116361,1.0603964536116361,178.75899978843006,13209092883,0.451005040491376,ge19,56,56,1590,322259103509.196,14957593277822.8,138745596454566.0,689526461698.448,4923903061998.06,229542098868.282
560,1023,341,1.0611952829463098,1.0611952829463098,180.89700167286657,17026792032,0.451446582155422,ge19,57,57,1591,449158132420.834,20567235474102.2,191525110919993.0,947810273923.854,6770780442442.99,317999008353.042
568,1023,341,1.0614838506901234,1.0614838506901234,183.14713777995559,23145358031,0.451853954620159,ge19,58,58,1592,601706081446.951,27187140949073.8,254170949749695.0,1252464289098.82,8950377961523.39,423483356235.762
576,1023,341,1.0622484860251813,1.0622484860251813,185.2849783277499,29803154687,0.452269737595335,ge19,59,59,1593,838437866161.845,37388034927265.3,350935699088077.0,1721832186273.39,12309077091427.0,586681724043.543
584,1023,341,1.0627825168069018,1.0627825168069018,187.41915132504135,39283464367,0.452665077485472,ge19,59,59,1593,1132705671551.69,50510170066807.7,474104131921793.0,2326146231658.43,16629212486372.8,792590295643.408
592,1023,341,1.0637384296540282,1.0637384296540282,189.55638858728622,49226730419,0.453067205416029,ge19,60,60,1594,1608575393027.52,70804977981186.4,667284308971898.0,3259705690632.5,23311576727525.9,1119193990386.88
600,1023,341,1.0644470193561546,1.0644470193561546,191.6941148362714,63277260244,0.453449728321318,ge19,61,61,1595,2241068725229.87,97389942200328.8,921579536868450.0,4482137450459.74,32065421969346.4,1550608909101.61
608,1023,341,1.0651370305717416,1.0651370305717416,193.83181765087937,81306673896,0.45382258973352,ge19,62,62,1596,3121546583763.86,133948942903032.0,1.27276637080237e+15,6162640935987.42,44103913330395.6,2148074582126.16
616,1023,341,1.065810888723793,1.065810888723793,195.96949752254466,104412225128,0.454186498987196,ge19,63,63,1597,4347630354691.13,184248813123106.0,1.75801909414902e+15,8474007256217.32,60667696857827.4,2975858945068.48
624,1023,341,1.066044753740299,1.066044753740299,198.21252062395678,141157949107,0.45452597278648,ge19,64,64,1598,5831967536306.0,244129384770417.0,2.33919778285691e+15,11224339529674.4,80387371618529.4,3971013071203.33
632,1023,341,1.066692192911575,1.066692192911575,200.3500758800057,181114067314,0.454874020544714,ge19,65,65,1599,8120788614723.93,335833903357293.0,3.2316003239146e+15,15435543620046.0,110587811209938.0,5501179384167.83
640,1023,341,1.0673247688981642,1.0673247688981642,202.4876107021198,232260857067,0.455214701077197,ge19,66,66,1600,11306853216495.6,462015204408839.0,4.46491837180358e+15,21228062656459.8,152143686663139.0,7621040770922.27
648,1023,341,1.0679435068423648,1.0679435068423648,204.62512500957777,297682712612,0.455548487541939,ge19,67,67,1601,15742252498315.4,635674442892025.0,6.16983853273262e+15,29197494948449.4,209337653076872.0,10558363055770.9
656,1023,341,1.0685485776478965,1.0685485776478965,206.76261864701289,381335083387,0.455875783832278,ge19,68,68,1602,21916044216155.7,874675616354109.0,8.52678304509879e+15,40161937487022.2,288054418477415.0,14628173053367.1
664,1023,341,1.069139401162734,1.069139401162734,208.9000913546328,488314745460,0.456196932516864,ge19,69,69,1603,30506044425726.2,1.20351032949532e+15,1.1784311877718e+16,55242624184648.3,396362222609435.0,20265244642149.1
672,1023,341,1.069717823460945,1.069717823460945,211.03754283882657,624969047022,0.456512332290808,ge19,70,70,1604,42461487330529.4,1.65614681951447e+15,1.6288692822679e+16,75994157231741.8,545451535848716.0,28076170361074.3
680,1023,341,1.0699257621678229,1.0699257621678229,213.26979142919487,839207508360,0.456809528497212,ge19,70,70,1604,56441127925535.9,2.20140179678723e+15,2.16514364696684e+16,101013794371403.0,725031124613543.0,37319717763847.3
688,1023,341,1.070482238136748,1.070482238136748,215.40710273204107,1073405403825,0.457114495722816,ge19,71,71,1605,78548176572599.1,3.0292748281428e+15,2.99278529992668e+16,138955896661919.0,997725106580358.0,51700300977345.8
696,1023,341,1.0710242829555534,1.0710242829555534,217.54439350157492,1372865807323,0.457414462408749,ge19,72,72,1606,109276710775717.0,4.16760916701592e+15,4.13608607932982e+16,191109498753880.0,1.37269512029223e+15,71603689480892.5
704,1023,341,1.071557669515569,1.071557669515569,219.6816631647819,1754455975886,0.457709860233145,ge19,73,73,1607,152054686490524.0,5.73551650396535e+15,5.71816579425407e+16,262920744586323.0,1.88918508903802e+15,99195946717294.1
712,1023,341,1.0720789436031954,1.0720789436031954,221.81891112156288,2241511888466,0.458000774065833,ge19,74,74,1608,211539199530402.0,7.89282028962152e+15,7.90521516459401e+16,361694256339929.0,2.59985453708571e+15,137406042552114.0
720,1023,341,1.072592824421536,1.072592824421536,223.95613664023392,2861247407421,0.458287555238723,ge19,75,75,1609,294369342469543.0,1.08656727934508e+16,1.09332867671461e+17,497763612211191.0,3.57921928989457e+15,190397830780521.0
728,1023,341,1.0730927856524646,1.0730927856524646,226.0933390857099,3652733915806,0.45857014662944,ge19,76,76,1610,409453649700445.0,1.49535512482849e+16,1.51170198069044e+17,684806759105985.0,4.92595984683287e+15,263731062579981.0
736,1023,341,1.0732507813831342,1.0732507813831342,228.3245455842775,4896898903588,0.458837438347741,ge19,77,77,1611,550223548422060.0,1.98841045619825e+16,2.01962346159632e+17,910305049873214.0,6.55039351814772e+15,352951174689745.0
744,1023,341,1.073734869649553,1.073734869649553,230.4616469447651,6246923369791,0.459112557830609,ge19,78,78,1612,765253850668865.0,2.73684536871156e+16,2.7930048633723e+17,1.25253087524007e+15,9.01626011236778e+15,488912182371775.0
752,1023,341,1.074209090895858,1.074209090895858,232.59872414881093,7966570612486,0.45938404046421,ge19,79,79,1613,1.06420047149779e+15,3.76699968166754e+16,3.86267647881436e+17,1.72341979105139e+15,1.24104224118008e+16,677218481862229.0
760,1023,341,1.0746882503387396,1.0746882503387396,234.7309609321747,10133714957368,0.45965250135329,ge19,79,79,1613,1.46656270591711e+15,5.19125991229814e+16,5.32311103083751e+17,2.37502543918078e+15,1.71026636064245e+16,933267176492707.0
768,1023,341,1.075143748328783,1.075143748328783,236.86796050210495,12914671635343,0.459917069005478,ge19,80,80,1614,2.03931426640629e+15,7.14549267592169e+16,7.36224447781452e+17,3.26802244365526e+15,2.35417073682634e+16,1.29270339481403e+15
776,1023,341,1.0755920428414016,1.0755920428414016,239.00493412024636,16449160822115,0.460178394223304,ge19,81,81,1615,2.83599799459464e+15,9.83733134605353e+16,1.01848438539419e+18,4.49766969743166e+15,3.24114056525101e+16,1.79084759493036e+15
784,1023,341,1.0760278438848125,1.0760278438848125,241.14188102780676,20957235424701,0.46043638015656,ge19,82,82,1616,3.94187948584047e+15,1.35376904186359e+17,1.40842627043109e+18,6.18745837326598e+15,4.46046281164161e+16,2.47982992244472e+15
792,1023,341,1.0753625209393272,1.0753625209393272,243.29957114027965,31854121045812,0.460654580571175,ge19,83,83,1617,4.8509062209632e+15,1.64960330211862e+17,1.72462507591524e+18,7.53710784027953e+15,5.43537646340785e+16,3.04042600867673e+15
