d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
328,1023,341,1.0880888871116317,1.0880888871116317,110.09732399662094,228122,0.431554538444578,g,39,39,1573,680876280.684277,41209226321.415,360546437093.116,1910444069.61229,13557668358.2408,551185560.553938
336,1023,341,1.0888634250778846,1.0888634250778846,112.24615860563422,292247,0.432909043844558,g,40,40,1574,959448633.949407,57044053044.0028,500588873509.024,2643660624.4793,18767919681.3557,769629659.606898
344,1023,341,1.0896080078190327,1.0896080078190327,114.39487152408252,373918,0.434192752134093,g,41,41,1575,1351653451.4642,78969039457.6295,695115250338.951,3658539024.10452,25982313695.9903,1074636136.32313
352,1023,341,1.0903235975731642,1.0903235975731642,116.5433872795314,477849,0.43540935214018,g,42,42,1576,1903642602.13242,109323947284.615,965315350969.866,5063160532.06052,35970913336.1271,1500440523.20854
360,1023,341,1.0910120486913037,1.0910120486913037,118.6916465453832,609979,0.436562511572548,g,43,43,1577,2680334521.65436,151351995429.254,1340665821344.01,7007290933.74486,49801164286.3016,2094868960.61041
368,1023,341,1.0916743479715638,1.0916743479715638,120.83960366872822,777827,0.437655753071148,g,44,44,1578,3772830601.14289,209537694175.219,1862075478991.92,9697947115.68943,68949112261.1549,2924576741.15438
376,1023,341,1.0923117222958492,1.0923117222958492,122.98722447479523,990888,0.438692514549658,g,45,45,1579,5309070773.94887,290089028823.424,2586384790356.37,13421611263.5143,95458143816.744,4082552773.36662
384,511,170,1.0973860662489934,1.0973860662489934,124.57312481412295,621990,0.459275503374838,g,46,46,812,9179662280.61945,261401811610.021,2184244437659.44,11927316296.5872,86238868092.078,6447619935.197
392,511,170,1.0978932313078893,1.0978932313078893,126.71965462870955,783268,0.459945510064306,g,47,47,813,12920539392.0205,362012771761.378,3046244027327.06,16507177417.2303,119439367490.116,9009807569.35211
400,511,170,1.0983821413400456,1.0983821413400456,128.8658705708393,985816,0.460581623502763,g,48,48,814,18180260062.3656,501332631917.142,4248649032041.69,22844932052.0516,165416445172.708,12588634023.4473
408,511,170,1.0988536296983098,1.0988536296983098,131.01175687835024,1240097,0.461185986096157,g,49,49,815,25573272444.3533,694243999674.62,5925923107433.03,31614854607.5824,229083553805.728,17586797392.9614
416,511,170,1.099308495558369,1.099308495558369,133.1573035735748,1559211,0.461760639543904,g,50,50,816,35961762803.2888,961347251499.383,8265650841266.11,43749660480.4342,317242302436.656,24566236055.1129
424,511,170,1.0997475185438157,1.0997475185438157,135.3025053531144,1959553,0.462307524627509,g,51,51,817,50555277427.5326,1331156905180.44,11529535142607.2,60539548518.2365,439307927990.973,34311026843.4508
432,511,170,1.1001714254776178,1.1001714254776178,137.44736065378197,2461639,0.462828480258762,g,52,52,818,71050169760.4368,1843137891470.59,16082666435634.4,83769027310.1446,608312255911.888,47915006458.8131
440,511,170,1.100580938403135,1.100580938403135,139.59187087205447,3091130,0.463325246019644,g,53,53,819,99825166738.2178,2551913570978.06,22434416689585.8,115906424601.821,842293808101.194,66904101111.7843
448,511,170,1.1009767306391205,1.1009767306391205,141.7360397141543,3880123,0.463799462345126,g,54,54,820,140214935441.209,3533080528961.72,31295427843723.1,160365584845.933,1166218834298.44,93406656094.8172
456,511,170,1.1013594344725448,1.1013594344725448,143.8798726585786,4868762,0.464252673030493,g,55,55,821,196893202861.524,4891256955452.28,43657147294662.9,221867856911.806,1614640424646.12,130390926378.797
464,511,170,1.1017285455653172,1.1017285455653172,146.0233765075099,6107877,0.464686296705441,g,56,56,822,276389791957.931,6770746444271.76,60898553710312.1,306921222464.912,2235222096590.01,181983394995.556
472,511,170,1.102086992532325,1.102086992532325,148.16655904916155,7659004,0.465101760874607,g,57,57,823,387914038941.794,9372736771852.94,84957064783657.7,424593589901.906,3094420299180.38,253978102860.172
480,511,170,1.1024340482964745,1.1024340482964745,150.30942872743717,9601138,0.46550030083555,g,58,58,824,544302056051.335,12974069912319.7,118521772705178.0,587354196077.995,4283687932652.6,354411367005.177
488,511,170,1.1027730347258093,1.1027730347258093,152.45139816907036,12028878,0.46588317982948,g,58,58,824,753057885699.257,17950006891328.6,163978354611013.0,812621786263.04,5926608106096.41,490338538569.714
496,511,170,1.1030986636763642,1.1030986636763642,154.59366964080272,15070792,0.466251352269133,g,59,59,825,1056342495762.21,24844645857850.2,228754057038422.0,1124019034487.92,8203573476838.55,684121532770.79
504,511,170,1.103415984196154,1.103415984196154,156.73565548741294,18873825,0.466605972622708,g,60,60,826,1481586333277.29,34389898158955.6,319157710911463.0,1554851591516.28,11356115027043.0,954483503169.025
512,511,170,1.10372229128389,1.10372229128389,158.8773648789768,23634326,0.466947921013707,g,61,61,827,2077328304642.76,47595588486726.8,445249144385767.0,2150513312665.4,15717887876863.4,1331404184411.96
520,1023,341,1.1006502456501333,1.1006502456501333,161.5806824392039,68629142,0.450857444843102,g,61,61,1595,2313124925297.71,100521282654452.0,951210720749352.0,4626249850595.43,33096408852823.7,1600465026642.02
