d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
344,1023,341,1.0978877599086487,1.0978877599086487,113.3744597373516,242313,0.434713336652139,t_count,42,42,1576,2034555588.12975,116842125520.389,1031699826124.48,5411352710.09511,38444623300.7018,1603625411.47727
352,1023,341,1.098427559109204,1.098427559109204,115.52237976071255,307897,0.435902491303807,t_count,43,43,1577,2865665208.43205,161817170216.752,1433365637505.65,7491807336.71997,53244646398.3075,2239717859.14997
360,1023,341,1.098948918658403,1.098948918658403,117.67026091156178,390826,0.437029857682529,t_count,44,44,1578,4035437319.43174,224122501192.131,1991684672311.14,10372969753.9755,73748294099.4135,3128141009.35816
368,1023,341,1.0994536311716625,1.0994536311716625,119.81801844744051,495574,0.43809896915146,t_count,45,45,1579,5681800167.55797,310455061300.627,2767964896479.59,14363890852.6383,102159892121.636,4369173066.14194
376,1023,341,1.099938395861691,1.099938395861691,121.9655851748435,627919,0.439112973595522,t_count,46,46,1580,7996904992.45651,430002409196.651,3846654103246.45,19888406572.1483,141503676002.883,6101534653.33533
384,1023,341,1.1004061348564775,1.1004061348564775,124.11290875528312,794950,0.440075256412162,t_count,47,47,1581,11252375458.4088,595584997506.26,5346010770306.31,27537762303.9654,195999843448.067,8520169276.81437
392,1023,341,1.100857249968131,1.100857249968131,126.25994927786185,1005651,0.440988939802698,t_count,48,48,1582,15828694324.7674,824908920431.469,7430004048776.29,38128238530.7289,271477040400.255,11896408627.734
400,1023,341,1.101292405993924,1.101292405993924,128.40667717157018,1271295,0.441857033815707,t_count,49,49,1583,22259919324.0101,1142492082208.79,10326569539653.2,52789777715.7639,376006562946.746,16608794294.3852
408,511,170,1.105999422994834,1.105999422994834,129.99797150137172,695773,0.461429680604146,t_count,50,50,816,38651070626.2118,1033239130052.3,8883776253820.52,47021366175.8373,340966451065.626,26403358755.8039
416,511,170,1.1063263937887506,1.1063263937887506,132.14372592352802,871565,0.461992646317269,t_count,51,51,817,54359940087.8371,1431336416199.96,12397218875737.3,65095602236.8456,472369134556.377,36893188178.7358
424,511,170,1.106642286586718,1.106642286586718,134.28918942549404,1091374,0.46252862810317,t_count,52,52,818,76431206243.0532,1982729285410.07,17300698920563.0,90113335755.6985,654383228759.968,51543884457.1207
432,511,170,1.1069475356166145,1.1069475356166145,136.43434855753512,1366160,0.463039419665965,t_count,53,53,819,107433093578.862,2746401317766.02,24144199968330.4,124739944520.138,906487136093.985,72003030802.8543
440,511,170,1.1072436382133442,1.1072436382133442,138.57919494970474,1709437,0.463526747448062,t_count,54,54,820,150976880860.935,3804255776424.04,33697452173594.5,172674157152.327,1255729865364.3,100575916142.389
