d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,gates,depth
328,511,170,1.029887487674093,1.029887487674093,117.49024750110837,5044142,0.449518437142771,classical,5488369714473.03,32658067722.4841
336,511,170,1.030276720153796,1.030276720153796,119.86665290087402,6896550,0.4505894966861,classical,8886187003652.72,52876484649.8344
344,511,170,1.0306466115386554,1.0306466115386554,122.24217986788402,9264734,0.45160924896702,classical,14380511425258.8,85569985340.3831
352,511,170,1.031005094270144,1.031005094270144,124.6168546686374,12183636,0.452580467520094,classical,23276557271470.8,138505134177.347
360,511,170,1.0313447999848582,1.0313447999848582,126.99070596255865,15634498,0.453504756954972,classical,37652161365979.5,224045918871.944
368,511,170,1.0316724940560569,1.0316724940560569,129.36376396665318,19526628,0.454384709665428,classical,60904591104218.6,362407484256.508
376,511,170,1.031987205039285,1.031987205039285,131.73605959395297,23705400,0.455222318091245,classical,98497280603281.3,586099520945.145
384,511,170,1.0322897153321597,1.0322897153321597,134.10762395275023,27978541,0.456019657021132,classical,159264068784612.0,947687020867.114
392,511,170,1.0325801496234592,1.0325801496234592,136.47848793426937,32155592,0.456778712283749,classical,257458140885314.0,1531982325929.14
400,511,170,1.032860849800859,1.032860849800859,138.84868182534203,36089583,0.457501557208995,classical,416176776831127.0,2476423796019.93
408,511,170,1.0331307415373572,1.0331307415373572,141.21823524086065,39685562,0.458189996692102,classical,672594447858507.0,4002214896348.14
416,511,170,1.0333909516473958,1.0333909516473958,143.58717680710714,42910509,0.458845915138763,classical,1.08683794985624e+15,6467134908235.5
424,511,170,1.0336420047411745,1.0336420047411745,145.95553412928567,45774563,0.459471098270686,classical,1.7559677968879e+15,10448733998010.6
432,511,170,1.033884387925361,1.033884387925361,148.32333370326043,48314647,0.460067266024253,classical,2.83669406325281e+15,16879501863983.6
440,511,170,1.0341185538976694,1.0341185538976694,150.69060087231492,50579381,0.460636070869654,classical,4.58201398793798e+15,27264876622440.9
448,511,170,1.0343449238186204,1.0343449238186204,153.05735980653867,52618743,0.461179096664584,classical,7.40034253995357e+15,44035096105508.9
456,511,170,1.0345638899620497,1.0345638899620497,155.42363349961286,54478282,0.461697858029515,classical,1.19509398371082e+16,71113030435685.3
464,511,170,1.034772469467238,1.034772469467238,157.78944376038197,56176313,0.462193638139321,classical,1.92892671652917e+16,114779110405042.0
472,511,170,1.0349777012865446,1.0349777012865446,160.15481123027072,57784065,0.462668141589925,classical,3.11445011343396e+16,185322651377889.0
480,511,170,1.0351761157415125,1.0351761157415125,162.51975551668482,59303809,0.463122489502295,classical,5.02787068617968e+16,299179082152840.0
488,511,170,1.0353678953818488,1.0353678953818488,164.88429507621274,60753405,0.463557918805027,classical,8.11554992452962e+16,482908755839779.0
496,511,170,1.0355537870147558,1.0355537870147558,167.24844732224406,62150093,0.463975626392943,classical,1.30982282559384e+17,779398706138481.0
504,511,170,1.035734056234312,1.035734056234312,169.61222866622717,63504577,0.464376723044172,classical,2.11382939715478e+17,1.25781583962929e+15
512,511,170,1.0359089529572523,1.0359089529572523,171.975654553889,64824798,0.46476225716061,classical,3.41108059175668e+17,2.02973390583869e+15
520,1023,341,1.033946888133974,1.033946888133974,174.79133654569847,47506652399,0.447873692630715,classical,7.80222656439847e+17,2.56104597551238e+15
528,1023,341,1.0341419910578205,1.0341419910578205,177.15438241386423,68608870964,0.448372918893015,classical,1.25874749895363e+18,4.13178236978051e+15
536,1023,341,1.0343315368511825,1.0343315368511825,179.51710341196548,99072250695,0.448854481430399,classical,2.03061963688015e+18,6.66541814173693e+15
544,1023,341,1.0345157575283896,1.0345157575283896,181.87951231829794,143043002485,0.449319511795345,classical,3.27559187576084e+18,1.07519838364052e+16
552,1023,341,1.0346948724465637,1.0346948724465637,184.2416211177284,206499492219,0.449769071153839,classical,5.28352134294133e+18,1.73429225108857e+16
560,1023,341,1.0348690891701724,1.0348690891701724,186.6034410445614,298058408680,0.450204153496058,classical,8.52178857259887e+18,2.79723898657439e+16
568,1023,341,1.0350386042636255,1.0350386042636255,188.9649826243561,430132506721,0.450625688846539,classical,1.37439854249365e+19,4.51140174788659e+16
576,1023,341,1.035203604021138,1.035203604021138,191.32625571451936,620590175749,0.451034546448767,classical,2.21651258678147e+19,7.27560343601335e+16
584,1023,341,1.03536426265675,1.03536426265675,193.68726954359667,895128450997,0.451431537779203,classical,3.57440681886541e+19,1.17328305231098e+17
592,1023,341,1.035520750732817,1.035520750732817,196.04803274890978,1290652533353,0.451817420013961,classical,5.76388098148733e+19,1.89196815410711e+17
600,1023,341,1.0356732279618959,1.0356732279618959,198.40855341298305,1860066523681,0.452192898629005,classical,9.29402882990703e+19,3.05072339731069e+17
608,1023,341,1.0358218459333817,1.0358218459333817,200.76883909822706,2679012544119,0.452558630421045,classical,1.49855148689634e+20,4.91892823534004e+17
616,1023,341,1.0359670086022166,1.0359670086022166,203.12889687586656,3855133551506,0.452915238652724,classical,2.41623190788394e+20,7.93117317539452e+17
624,1023,341,1.036108321442286,1.036108321442286,205.48873337452173,5541363301520,0.45326326575775,classical,3.89551237873419e+20,1.27868451624296e+18
632,1023,341,1.0362461832062129,1.0362461832062129,207.84835478456142,7952570049058,0.45360325183314,classical,6.28015685854079e+20,2.06143340178592e+18
640,1023,341,1.03638071793902,1.03638071793902,210.20776690366304,11388227065319,0.453935686020134,classical,1.01241066474719e+21,3.32319272853174e+18
648,1023,341,1.0365120438770024,1.0365120438770024,212.56697515947292,16259652677462,0.454261021764792,classical,1.63201291853182e+21,5.3570094158274e+18
656,1023,341,1.0366402737833633,1.0366402737833633,214.92598463505684,23120434907018,0.454579679080286,classical,2.63070066453871e+21,8.6351572773304e+18
664,1023,341,1.036765515260716,1.036765515260716,217.28480009291724,32694286114143,0.454892046697864,classical,4.24033824706437e+21,1.39187206534199e+19
672,1023,341,1.0368878710421288,1.0368878710421288,219.643425997622,45888202709162,0.455198484108069,classical,6.83456723881594e+21,2.24341612959657e+19
680,1023,341,1.037007439262581,1.037007439262581,222.00186653709616,63769673562019,0.455499323494525,classical,1.10154739980992e+22,3.61578007487255e+19
688,1023,341,1.0371243137126733,1.0371243137126733,224.36012564263353,87477730814727,0.455794871563067,classical,1.77532217625436e+22,5.82741564501677e+19
696,1023,341,1.0372385840748337,1.0372385840748337,226.71820700767765,118037450917497,0.456085411269343,classical,2.8611006100107e+22,9.39143479406106e+19
704,1023,341,1.037350336145046,1.037350336145046,229.07611410543305,156071088767022,0.456371203448441,classical,4.61074567436726e+22,1.51345664676424e+20
712,1023,341,1.037459652039772,1.037459652039772,231.43385020535672,201458630952664,0.456652488350142,classical,7.43004412879802e+22,2.43887875555491e+20
720,1023,341,1.0375666103898418,1.0375666103898418,233.79141838858763,253081324424842,0.456929487083678,classical,1.19727493913731e+23,3.93000144144858e+20
728,1023,341,1.0376712865223667,1.0376712865223667,236.1488215623689,308820813058277,0.457202402975894,classical,1.92920658028107e+23,6.33253431899252e+20
